,offer_id,comparison_new,brand,matches
753,40ef44e8-3033-4e32-89a5-721d5fd00f90,ellesse grau orellio water reactive paddedjacket trainingsjacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   schwarz t shirt', 86)]"
798,868af5ca-be83-4854-96c1-cd90c1bb7e00,ellesse schwarz hoody kapuzenpullover,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
966,e776daf8-1f1f-4cee-983c-76dbf3a2fbc1,ellesse dunkelblau pontra trucker unisex cap,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
1010,a6b379ac-9a6f-4a0a-a6a0-61dbec31fb47,ellesse dunkelblau dem slackers badeshorts,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
1114,6d65f8f0-06c0-4b84-9742-2e9568be4607,ellesse mehrfarbig zalo trucker unisex cap,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
1156,2bede5df-8d81-4572-8ae9-fcd8845736a2,ellesse dunkelgrau jubalio  shorts,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
1307,10a2c239-1975-42c6-a70f-7a0a09a0ae89,ellesse pink nattia t shirt print,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
1353,b1caeea8-4038-4ec7-af22-247c8fea0801,ellesse weiß brando jacket trainingsjacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
1363,001b3575-ac79-46c6-827a-b8f03d6a9a05,ellesse hellblau nasello badeshorts,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
1411,1c37fabe-83d8-4f0e-9a7f-86b8285d2dae,ellesse schwarz tobias track jackets leichte jacke windbreaker,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   schwarz t shirt', 86)]"
1498,06a9a334-9ce1-4b1e-ab0f-92f8c027538d,ellesse weiß zalo trucker unisex cap,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
1527,2dfc7466-fdfc-41d5-8f19-8079f3667ae3,ellesse schwarz alberta t shirt print,ellesse,"[('ellesse schwarz   weiß   schwarz t shirt', 87), ('ellesse schwarz   weiß   schwarz t shirt', 87)]"
1567,4e721058-e963-4e04-a47f-dc795c7dc285,ellesse grau yoreo  sweatshirt,ellesse,"[('ellesse grau   grau sweatshirt', 95), ('ellesse grau   grau sweatshirt  noreo ', 92)]"
1675,602d069e-8527-4291-a44b-9fc3126a1860,ellesse schwarz elenarie crop langarmshirt,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
1731,e76f1e8a-2469-49e3-9fb6-e4c8c426dfea,ellesse blau bertoni jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
1817,82eac519-2b9e-4254-a52e-ec5ef47aac74,ellesse khaki half zip hoody unisex kapuzenpullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
1822,5431013f-322d-4f04-b86d-8c218b700f2b,ellesse schwarz marmart winterjacke,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
1919,f42a8db6-c7db-431d-b423-9e25d1b0929a,ellesse grau rian t shirt print,ellesse,"[('ellesse grau   grau shirt', 95), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
1992,f0adc6e4-5d89-4a7d-a44d-12d10334a22e,ellesse hellgrau canaletto t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
2001,cb03f03f-8618-4ebc-b965-d7d544ebaa3c,ellesse schwarz katylin skort sportrock,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
2022,9bf44517-c7ec-483e-922b-b98f48d9c540,ellesse blau impeto short tights,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2049,a9a2fa33-7423-4e80-80c1-8ede722f01b8,ellesse mehrfarbig jaxone jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2129,3b463946-7e1c-4122-aa87-8ceae06045c8,ellesse schwarz animata legging tights,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
2166,87f70b89-dbda-4dab-b654-a7bcfe677557,ellesse schwarz reona tights,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2216,9ce3fd64-2e78-4315-9b6d-4c262e400db0,ellesse dunkelblau do  badeshorts,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2257,5cd945a7-cc3f-42e1-90b8-c968eaf6703a,ellesse schwarz cono cycle lederhose shorts,ellesse,"[('ellesse schwarz   weiß   schwarz shorts', 87), ('ellesse weiß   weiß sneaker', 86)]"
2330,940a6f17-36f3-4aa5-a491-1f84bbec7cdb,ellesse mehrfarbig baleno top,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2362,1cbfc71c-3910-409c-9d71-60d3b2b9613b,ellesse weiß seppy fleecepullover kapuzenpullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
2380,16947d9d-0a23-43a9-8fa9-eed0976b08a9,ellesse grün primia jogger jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2426,e2a9e356-82c7-42ce-96e7-def69e809884,ellesse weiß lanori bucket hat unisex hut,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
2511,34485c17-ee3a-4c23-a2a9-61be7952586c,ellesse oliv zozo jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2564,dfe38cc2-c48c-4b7d-9df1-a72fac409228,ellesse dunkelrot aprela tee t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
2575,810e2563-3318-42d7-98ff-458956ef3d1a,ellesse pink nervet jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2615,fd7c28b1-e0fc-4a4b-8ec7-6eb59b7f13e6,ellesse schwarz sharlia 3 pack slip,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
2638,20d5ae07-b236-45f3-895c-fdc454c5e1c0,ellesse mehrfarbig sereta dress etuikleid jerseykleid,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
2639,cd9a6348-82dd-42e5-8c28-c0c8cda26a73,ellesse rosa noreo sweatshirt kapuzenpullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse nude   beige sneaker', 86)]"
2720,0307aab0-27ab-4b1c-a488-f37e53a07932,ellesse grau silvan shorts jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
2898,c942da16-38d3-43b9-99e1-761d8f15686b,ellesse schwarz nurra fashion trunks 5 pack panties,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
2922,f8c6f774-9e4a-464d-8387-ac8f5a477571,ellesse mehrfarbig nurra fashion trunks 5 pack panties,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
2935,0b3bb608-d8b4-4ad1-8391-d38141eccd7f,ellesse schwarz aubreita dree jerseykleid,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
2954,9408f7a6-6b5b-418d-b214-7b20358092ef,ellesse lila lorent jog pant jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
2980,d9b0aa31-75bf-499a-a39a-07227749fa95,ellesse weiß poliero 3 pack unisex socken,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
3043,75581677-b73f-44cc-a13b-a44db69364c7,ellesse schwarz justine padded jacket winterjacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
3147,52bc78bf-35bf-451a-8cb6-fbb73c821405,ellesse weiß partial track  trainingsjacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
3157,ace9a9c6-3855-41ac-b559-f8923706dba9,ellesse schwarz shari belt unisex gürtel,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
3293,6ad4474a-275a-4742-a06b-2c620f583b84,ellesse schwarz total ball short tights,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
3332,3c9e16b5-6a60-4802-be52-b43f1093a0fb,ellesse dunkelblau malia t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
3367,7b975bbc-1774-4003-ac79-f71958fc8601,ellesse hellgrün manar sweatshirt,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
3489,46ed2545-6c71-4000-9fb0-204cd8a9db98,ellesse weiß rex tee t shirt print,ellesse,"[('ellesse weiß   weiß shirt', 95), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
3560,24b9420b-e672-4e25-b183-e81141cd2d5b,ellesse beige espela set strandaccessoire,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
3592,015a67ce-de00-4952-a8e7-93a7f3a63057,ellesse dunkelblau ethan pyjama,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
3634,bdddb8fd-4bb6-485f-a7c9-74bf9f991fef,ellesse schwarz primia jogger jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
3665,581c1c1a-8952-4ec1-bc7b-03e056c34fbd,ellesse schwarz half zip hoody unisex kapuzenpullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
3799,fbe3b103-477f-46bf-bb92-ab7baeeef671,ellesse neongelb olbareo tee t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
3944,82a45b36-6a24-4476-a7af-64844b47849b,ellesse weiß siderea t shirt print,ellesse,"[('ellesse weiß   weiß shirt', 95), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
3948,7a73abed-e5da-4815-b427-2b90f93fb9c6,ellesse grau osteria jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
3961,84a52466-0b18-4c04-bb93-c10cb1e32fe3,ellesse schwarz pant jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
3987,428992e6-9785-4dea-b339-dd4a2ecfa43b,ellesse hellgrau meliert isobel sweatshirt kapuzenpullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4015,8338f975-bb4f-4d54-bddf-e2618a512048,ellesse grau rensto jog suit trainingsanzug,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
4176,86b61bef-aa32-4ad1-baea-36e858672fdf,ellesse weiß labus oh hoody kapuzenpullover sweatshirt,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4187,0a50f104-7fe7-473d-b369-e6f3a3ac3d05,ellesse dunkelblau floria hoody kapuzenpullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4200,b7f4f7bb-dc48-4bb1-80d2-b7f49c43799a,ellesse schwarz loral tee 3 pack unisex langarmshirt,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4202,b34b8f91-364e-46a8-9b48-7dc76927789b,ellesse dunkelblau ladali jacket hardshelljacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4237,c4f9f842-e998-4059-986c-ce2f074c205c,ellesse rot marmart winterjacke,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
4293,194d031e-4d51-420c-b7e5-be0b7be03a60,ellesse blau avo hoody fleecejacke,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
4318,b6ccc1a5-a470-4ad8-a9b1-0887ef6fa27c,ellesse schwarz inmano hoody kapuzenpullover sweatshirt,ellesse,"[('ellesse schwarz   weiß   schwarz sweatshirt', 88), ('ellesse schwarz   weiß   schwarz sweatshirt', 88)]"
4531,79bdf471-09b1-453c-906f-ecad258d8450,ellesse blau cielo swimshort badeshorts,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
4541,22764394-7209-44e1-a819-18f530281099,ellesse neongelb malia t shirt print,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
4554,595c177c-4d2c-4295-bb11-dbdf8ddef774,ellesse dunkelblau hali fashion trunks 3 pack panties,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4631,6c38ba70-2514-47eb-9b59-47e1b7006960,ellesse schwarz cristas track pant jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse nude   beige sneaker', 86)]"
4640,9098d845-13ff-491c-9f0d-8df556725951,ellesse schwarz hali fashion trunks 3 pack panties,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4649,b8cf5555-6023-4910-8143-60bebb031cd4,ellesse weiß massello sneaker low,ellesse,"[('ellesse weiß   weiß sneaker', 95), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
4670,4d27c148-5395-4412-8fba-47494e3826b6,ellesse schwarz jessina bra 2 pack bustier,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
4729,39cb1957-82d4-4fb8-9b5e-b3ac2944cf78,ellesse schwarz cherrie set bikini,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
4822,7340b0c0-0133-42d2-8560-7194092dd98f,ellesse dunkelblau dembi pant jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
4892,576c224b-f460-431c-b80f-685a535e13d3,ellesse mint asali cropped unisex t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
4905,77bf3149-eebc-451f-ada1-ccf44ac9ff47,ellesse weiß meenia 5 pack string,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
4965,170f68cf-bd8d-492e-b885-479a18148d6a,ellesse schwarz lovra trucker unisex cap,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
4981,a21b22b8-9028-4754-9be1-8c38b877749a,ellesse dunkelblau garinos übergangsjacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
5007,fee0f67c-4467-441e-9e75-cc8281cc375b,ellesse schwarz velly tie dye pom pom beanie unisex mütze,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5011,7ec43b34-42d5-416c-9711-f581faaabd24,ellesse petrol setena kapuzenpullover sweatshirt,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5018,6d4a16be-4b07-44aa-9c2a-4179c276c98c,ellesse schwarz daxo glove unisex fingerhandschuh,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5070,7f429c01-1f45-4b62-b9a0-6a6b8a17fe2d,ellesse grau ginio face mask 2 pack unisex stoffmaske,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5081,686bf17f-435e-4113-9d7b-2b32a68e9f5d,ellesse dunkelgrau meliert alberta t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5108,3dff37e9-d93f-4c6d-95fc-31f51dae7331,ellesse schwarz albany t shirt print,ellesse,"[('ellesse schwarz   weiß   schwarz t shirt', 87), ('ellesse schwarz   weiß   schwarz t shirt', 87)]"
5249,595045e3-fa3f-40c6-b6cc-659a7c373642,ellesse schwarz nioro jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
5270,49248946-848b-4ee8-8175-179c76f2660c,ellesse dunkelgrün velly tie dye pom pom beanie unisex mütze,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5319,32d87f36-3c2a-491c-a735-4640045890e1,ellesse dunkelblau laci jogginghose,ellesse,"[('ellesse dunkelblau   blau jogginghose   polpetto ', 87), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
5446,a670bd5b-fe03-40c2-97eb-424cc347f622,ellesse schwarz lyran jacket leichte jacke,ellesse,"[('ellesse schwarz   schwarz jacke', 95), ('ellesse schwarz   schwarz jacke', 95)]"
5468,89f106c3-8ca2-421a-a3c7-d100b35faf88,ellesse hellblau espela set strandaccessoire,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
5512,3233fa5c-048f-4735-9d74-6fe8cc3bbc16,ellesse schwarz rosca umhängetasche,ellesse,"[('ellesse schwarz   weiß   schwarz umhängetasche', 88), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
5572,c3d90f5b-d1a6-4f02-bb9e-9c175bed638e,ellesse dunkelblau lorenzo bucket hat unisex hut,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5589,28fdc926-4990-411b-b750-f76aee1c31ab,ellesse schwarz parmo fashion trunks 2 pack panties,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
5622,903b7eeb-e224-49e6-80c7-6d2b72c53ecc,ellesse dunkelgrün ragusa tie dye unisex cap,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
5666,aaf91628-fab7-4f5b-b479-0164b8253830,ellesse dunkelblau multizio tee t shirt print,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse nude   beige sneaker', 86)]"
5740,69989404-d387-4f71-bee5-e5a56d1b7636,ellesse schwarz primero sweatshirt kapuzenpullover,ellesse,"[('ellesse schwarz   schwarz sweatshirt  primero ', 95), ('ellesse schwarz   weiß   schwarz sweatshirt', 88)]"
5786,7af19607-481f-41f6-9aac-9d93d7b7d384,ellesse schwarz manar sweatshirt,ellesse,"[('ellesse schwarz   weiß   schwarz sweatshirt', 88), ('ellesse schwarz   weiß   schwarz sweatshirt', 88)]"
5884,503cf42b-a357-426b-87f7-05c82daf57f8,ellesse lila nattia t shirt print,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
5887,5b37731d-7be8-4041-b7fe-ff09d4ab326d,ellesse dunkelblau aran t shirt print,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
5898,6ba4d132-aa2d-4ad8-a23c-9d851ce096d3,ellesse schwarz ravinte fleecepullover,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
5929,569c840d-f173-4db8-922c-102edf12d0a4,ellesse schwarz lauro t shirt print,ellesse,"[('ellesse schwarz   weiß   schwarz t shirt', 87), ('ellesse schwarz   weiß   schwarz t shirt', 87)]"
6034,c49161ee-80ec-4c32-8203-77156b58d0e1,ellesse schwarz cana jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
6062,59d74ddc-3da2-405b-a05e-8c98a5c13e34,ellesse mehrfarbig albi jogginghose,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
6157,f830d3e7-d8a4-47fe-81c6-1d260d7a4954,ellesse weiß delila tee set unisex langarmshirt leggings   hosen,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   schwarz t shirt', 86)]"
